COHORTE;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
1998-1;6.4;9.91;12.18;15.16;16.63;18.07;19.06;19.95;20.67;21.55;22.23;22.81;23.26;23.74;24.16;24.47;24.75;25.25;25.47;25.67;25.84;26.01;26.19;26.49;26.65;26.78;26.95;27.11;27.28;27.44;27.59;27.73;27.89;28.06;28.15;27.8;;
1998-2;11.73;16.31;20.11;22.37;24.46;26.16;27.33;28.39;29.6;31.16;32.39;33.4;34.36;35.01;35.57;36.15;36.64;37.04;37.4;37.73;38.06;38.4;38.75;39.03;39.28;39.53;39.76;40.01;40.26;40.53;40.79;41.02;41.36;41.53;41.48;;;
1999-1;9.37;13.53;16.25;19.05;20.86;22.2;23.35;24.52;25.65;27.22;28.3;29.53;30.24;30.87;31.48;32.05;32.46;32.86;33.18;33.5;33.82;34.13;34.43;34.67;34.94;35.17;35.47;35.76;35.99;36.24;36.49;36.8;36.98;37.01;;;;
1999-2;10.53;14.36;17.43;19.97;21.65;23.1;24.46;25.64;26.99;28.47;29.85;30.79;31.58;32.3;32.94;33.47;33.93;34.27;34.66;35.0;35.4;35.74;36.06;36.39;36.72;37.01;37.35;37.66;37.93;38.26;38.61;38.88;39.02;;;;;
2000-1;9.14;13.03;15.7;17.84;19.52;21.27;22.55;23.78;24.95;26.79;27.96;28.95;29.74;30.5;31.08;31.6;32.03;32.46;32.88;33.26;33.63;33.98;34.27;34.59;34.95;35.28;35.6;35.93;36.28;36.68;36.95;36.58;;;;;;
2000-2;10.11;14.56;17.34;19.58;21.71;23.35;24.78;25.91;27.18;28.44;29.56;30.69;31.63;32.46;33.08;33.69;34.2;34.66;35.15;35.58;35.98;36.44;36.86;37.28;37.69;38.05;38.45;38.82;39.22;39.61;39.31;;;;;;;
2001-1;10.69;14.64;17.19;19.26;21.02;22.79;24.21;25.83;26.88;28.22;29.33;30.49;31.33;32.1;32.72;33.26;33.77;34.25;34.74;35.17;35.59;36.0;36.4;36.83;37.2;37.58;37.96;38.36;38.73;37.83;;;;;;;;
2001-2;10.79;14.82;17.67;19.77;21.75;23.46;25.08;26.24;27.25;28.7;29.98;31.15;32.12;32.85;33.56;34.18;34.76;35.29;35.76;36.2;36.65;37.14;37.59;38.0;38.43;38.87;39.35;39.8;39.78;;;;;;;;;
2002-1;10.02;14.22;16.79;18.99;20.61;23.0;24.27;25.21;26.25;27.72;28.89;29.9;30.69;31.36;32.05;32.65;33.19;33.69;34.17;34.61;35.04;35.48;35.91;36.37;36.8;37.23;37.65;36.59;;;;;;;;;;
2002-2;10.73;14.67;17.64;19.82;22.34;24.14;25.54;26.7;27.84;29.44;30.86;31.78;32.59;33.44;34.18;34.82;35.38;35.94;36.46;36.98;37.53;37.98;38.52;39.03;39.57;40.05;39.39;;;;;;;;;;;
