INGRESO_FAMILIA;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
Menos de un salario mínimo;4.43%;5.67%;4.82%;5.92%;5.16%;6.8%;7.03%;8.61%;8.16%;9.81%;9.24%;11.21%;11.54%;13.75%;15.42%;17.12%;17.82%;20.16%;21.73%;21.63%;23.29%;14.76%;5.32%;5.73%;3.62%;5.13%;7.87%;7.46%;2.95%;3.81%;2.15%;3.54%;5.18%;6.28%;6.78%;6.67%;7.57%;7.31%
Entre 1 y menos de 2 salarios mínimos;19.79%;24.42%;24.13%;26.72%;22.79%;27.66%;27.46%;30.87%;29.63%;32.6%;30.9%;34.94%;35.4%;37.63%;40.77%;42.36%;42.79%;43.91%;45%;45.06%;44.9%;32.54%;18.81%;21.06%;18.05%;21.45%;27.54%;25.78%;18.68%;21.59%;18.82%;24.72%;28.4%;30.71%;31.84%;32.26%;34.18%;33.55%
Entre 2 y menos de 3 salarios mínimos;21.96%;25.5%;26.33%;27.37%;23.59%;25.2%;24.03%;24.34%;24.17%;24.33%;23.39%;23.32%;24.25%;23.07%;23.32%;22.66%;23.1%;21.7%;20.47%;20.73%;19.99%;23.82%;31.73%;33.55%;33.95%;34.37%;35.52%;32.91%;37.61%;37.84%;38.71%;40.95%;40.71%;41.63%;41.16%;42.26%;40.65%;41.73%
Entre 3 y menos de 5 salarios mínimos;22.58%;23.46%;26.01%;24.5%;22.11%;20.34%;20.44%;18.28%;20.11%;17.67%;18.24%;15.82%;18.1%;14.67%;13.07%;11.79%;11.18%;9.77%;8.8%;8.8%;8.32%;11.85%;20.06%;18.87%;20.67%;18.26%;16.65%;15.23%;19.4%;17.61%;19.41%;17.23%;15.49%;13.95%;13.76%;13.25%;12.27%;12.45%
Entre 5 y menos de 7 salarios mínimos;15.22%;13.53%;14.91%;12.58%;12.52%;9.89%;9.82%;7.81%;9.65%;7.43%;8.44%;6.47%;8%;5.79%;4.68%;3.7%;3.4%;3.01%;2.59%;2.63%;2.37%;6.91%;13.51%;10.77%;13.39%;10.6%;7.43%;7.55%;11.75%;9.33%;11.57%;8.09%;6.45%;5.13%;4.61%;4.14%;3.88%;3.58%
Entre 7 y menos de 9 salarios mínimos;4.55%;2.32%;1.26%;1.01%;4.92%;3.24%;4.18%;3.34%;3.2%;2.6%;3.68%;2.65%;0.98%;1.3%;0.95%;0.88%;0.65%;0.61%;0.62%;0.48%;0.49%;2.78%;5.06%;3.91%;4.97%;4.02%;2.32%;3.11%;4.58%;3.5%;4.34%;2.62%;1.95%;1.25%;1.09%;0.79%;0.8%;0.68%
Entre 9 y menos de 11 salarios mínimos;2.92%;1.43%;0.79%;0.62%;3.28%;2.14%;2.66%;2.25%;1.94%;1.62%;2.36%;2.07%;0.66%;1.15%;0.64%;0.54%;0.45%;0.36%;0.31%;0.24%;0.26%;2.42%;2.73%;2.32%;2.61%;2.37%;1.17%;2.45%;2.47%;2.29%;2.47%;1.45%;1.01%;0.58%;0.39%;0.35%;0.32%;0.36%
Entre 11 y menos de 13 salarios mínimos;2%;0.93%;0.47%;0.31%;1.76%;1.23%;1.44%;1.24%;1.01%;1%;1.22%;1.1%;0.32%;0.59%;0.35%;0.28%;0.22%;0.13%;0.14%;0.17%;0.15%;4.76%;2.72%;3.73%;2.71%;3.76%;1.44%;5.43%;2.52%;3.99%;2.51%;1.36%;0.77%;0.42%;0.33%;0.22%;0.27%;0.26%
Entre 13 y menos de 15 salarios mínimos;1.48%;0.68%;0.35%;0.27%;1.41%;1.03%;1.05%;1.03%;0.81%;0.86%;0.92%;1.02%;0.27%;0.62%;0.25%;0.17%;0.1%;0.12%;0.1%;0.07%;0.06%;0.05%;0.01%;0.01%;0.01%;0.01%;0.02%;0.02%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;0%;0.02%;0.03%;0.03%
15 o más salarios mínimos;5.08%;2.06%;0.94%;0.69%;2.46%;2.47%;1.9%;2.23%;1.32%;2.08%;1.62%;1.39%;0.47%;1.43%;0.55%;0.5%;0.3%;0.24%;0.24%;0.18%;0.17%;0.12%;0.05%;0.04%;0.03%;0.03%;0.04%;0.07%;0.02%;0.03%;0.02%;0.03%;0.02%;0.03%;0.04%;0.03%;0.05%;0.05%
