COHORTE;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2001-1;218;271;329;362;403;422;448;468;475;481;490;501;515;519;525;529;530;533;535;540;542;546;550;560;564;568;572;576;580;584;;;;;;;;
2001-2;140;171;204;229;262;290;321;329;339;346;360;376;388;397;404;407;411;413;416;421;425;427;429;432;438;438;443;447;450;;;;;;;;;
2002-1;192;239;290;322;354;378;396;413;422;452;469;479;483;494;501;503;507;512;516;518;521;523;527;528;532;534;540;544;;;;;;;;;;
2002-2;198;243;312;359;390;415;434;453;474;493;502;523;529;540;549;556;566;569;578;582;584;594;602;604;607;609;612;;;;;;;;;;;
2003-1;177;233;282;325;355;367;389;418;437;453;461;472;486;499;505;513;519;524;530;537;545;546;548;555;558;561;;;;;;;;;;;;
2003-2;154;215;268;302;319;339;368;394;410;423;439;454;460;471;482;488;494;499;508;517;526;526;534;541;546;;;;;;;;;;;;;
2004-1;183;246;295;332;359;398;436;452;459;468;475;481;489;495;503;509;513;522;532;538;541;551;558;562;;;;;;;;;;;;;;
2004-2;209;272;314;350;391;411;432;449;466;487;497;512;523;528;541;555;561;565;572;575;584;588;593;;;;;;;;;;;;;;;
2005-1;424;511;573;612;654;716;749;775;792;810;819;835;845;856;870;884;891;899;904;913;921;927;;;;;;;;;;;;;;;;
2005-2;343;421;505;554;591;624;649;671;692;711;719;736;751;763;771;777;785;789;798;803;813;;;;;;;;;;;;;;;;;
2006-1;405;497;583;637;672;714;745;773;796;817;836;851;871;884;892;898;899;905;911;921;;;;;;;;;;;;;;;;;;
2006-2;210;289;334;379;425;459;484;506;528;549;569;579;594;615;625;637;645;651;660;;;;;;;;;;;;;;;;;;;
2007-1;324;436;508;559;610;644;668;693;710;730;752;776;790;800;803;815;826;833;;;;;;;;;;;;;;;;;;;;
2007-2;256;351;410;463;497;545;575;612;637;659;677;698;705;716;727;737;749;;;;;;;;;;;;;;;;;;;;;
2008-1;293;408;487;546;585;637;674;696;718;738;761;776;789;823;838;854;;;;;;;;;;;;;;;;;;;;;;
2008-2;239;336;404;460;497;523;556;594;625;651;675;685;711;725;739;;;;;;;;;;;;;;;;;;;;;;;
2009-1;304;414;489;544;579;648;694;728;756;778;793;830;847;869;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;223;320;381;432;476;532;571;598;611;625;653;667;681;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;273;380;454;523;583;633;664;691;712;749;759;789;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;246;366;478;544;599;644;677;711;741;763;796;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;450;589;706;765;811;841;865;904;940;987;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;258;337;420;476;513;534;570;599;629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;324;427;536;609;646;721;759;797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;270;363;435;484;530;564;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;370;477;564;670;728;778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;234;299;410;477;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;155;442;549;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;323;419;523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;392;521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
