COHORTE;ESTRATO;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2001-1;Sin información;14.75%;19.19%;23.64%;26.06%;29.9%;31.31%;34.14%;36.16%;36.97%;37.78%;38.99%;39.8%;41.21%;41.62%;42.42%;42.83%;42.83%;43.23%;43.23%;43.64%;44.04%;44.24%;44.44%;45.25%;45.66%;46.06%;46.06%;46.46%;46.87%;47.07%;;;;;;;;
2001-1;Estrato 1;22.73%;22.73%;31.82%;31.82%;40.91%;40.91%;40.91%;45.45%;45.45%;45.45%;45.45%;45.45%;45.45%;45.45%;45.45%;45.45%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;
2001-1;Estrato 2;14.45%;18.29%;20.94%;23.3%;25.96%;27.73%;28.32%;29.79%;29.79%;29.79%;30.09%;30.68%;30.97%;31.56%;31.86%;32.15%;32.15%;32.15%;32.45%;33.04%;33.04%;33.33%;33.63%;34.51%;35.1%;35.4%;35.69%;35.99%;36.58%;37.46%;;;;;;;;
2001-1;Estrato 3;14.66%;17.25%;21.52%;23.93%;25.79%;26.53%;28.2%;28.94%;29.31%;29.68%;30.06%;30.8%;31.91%;31.91%;32.1%;32.28%;32.28%;32.47%;32.47%;32.65%;32.65%;33.02%;33.4%;33.95%;33.95%;34.14%;34.69%;34.88%;34.88%;34.88%;;;;;;;;
2001-1;Estrato 4;18.46%;24.62%;27.69%;27.69%;29.23%;32.31%;33.85%;33.85%;35.38%;35.38%;35.38%;36.92%;36.92%;36.92%;36.92%;36.92%;36.92%;36.92%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;38.46%;;;;;;;;
2001-2;Sin información;10.95%;15.19%;17.67%;19.79%;22.26%;23.67%;29.33%;31.1%;32.16%;32.86%;34.63%;36.4%;37.46%;39.22%;39.58%;39.93%;40.64%;40.99%;40.99%;41.34%;42.05%;42.05%;42.4%;42.76%;43.82%;43.82%;44.52%;44.88%;45.23%;;;;;;;;;
2001-2;Estrato 1;17.02%;21.28%;23.4%;25.53%;29.79%;31.91%;36.17%;36.17%;36.17%;36.17%;36.17%;36.17%;36.17%;38.3%;38.3%;38.3%;40.43%;40.43%;40.43%;40.43%;42.55%;42.55%;42.55%;42.55%;44.68%;44.68%;44.68%;44.68%;44.68%;;;;;;;;;
2001-2;Estrato 2;11.38%;14.07%;17.66%;20.06%;23.95%;26.05%;27.54%;27.84%;28.74%;29.34%;30.24%;31.74%;33.53%;33.83%;34.43%;34.43%;34.43%;34.73%;35.03%;35.33%;35.33%;35.63%;35.63%;35.93%;35.93%;35.93%;36.53%;37.43%;37.72%;;;;;;;;;
2001-2;Estrato 3;12.83%;14.49%;17.34%;19.0%;21.38%;24.47%;25.89%;26.37%;27.32%;28.03%;28.98%;30.4%;31.12%;31.59%;32.54%;33.02%;33.25%;33.25%;33.73%;34.44%;34.68%;34.92%;35.15%;35.39%;35.63%;35.63%;35.87%;35.87%;36.1%;;;;;;;;;
2001-2;Estrato 4;20.0%;22.5%;25.0%;30.0%;32.5%;40.0%;42.5%;42.5%;42.5%;42.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;47.5%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;
2001-2;Estrato 5;25.0%;25.0%;25.0%;50.0%;50.0%;50.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;75.0%;;;;;;;;;
2002-1;Sin información;14.63%;16.59%;20.49%;22.44%;26.34%;28.78%;28.78%;30.73%;31.22%;34.63%;37.56%;38.05%;38.54%;40.0%;40.49%;40.49%;40.98%;41.46%;41.46%;41.46%;42.44%;42.44%;43.41%;43.9%;44.39%;44.39%;45.37%;45.37%;;;;;;;;;;
2002-1;Estrato 1;18.42%;21.05%;21.05%;21.05%;23.68%;26.32%;36.84%;36.84%;36.84%;36.84%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;39.47%;;;;;;;;;;
2002-1;Estrato 2;11.46%;14.56%;17.09%;19.61%;21.17%;22.33%;23.3%;23.69%;24.08%;26.41%;27.77%;28.74%;29.32%;29.9%;30.68%;30.87%;31.07%;31.65%;31.84%;31.84%;31.84%;31.84%;32.04%;32.04%;32.43%;32.62%;33.01%;33.4%;;;;;;;;;;
