COHORTE;COLEGIO_JORNADA;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2001-1;Sin información;26;33;42;49;52;53;59;61;63;64;67;68;71;73;73;73;73;75;75;77;79;79;79;82;82;83;83;84;84;84;;;;;;;;
2001-1;Completa;62;74;89;98;109;113;120;126;128;130;131;136;139;139;142;143;143;144;146;146;146;146;147;149;150;152;154;154;156;157;;;;;;;;
2001-1;Mañana;92;114;137;150;169;179;188;197;199;201;206;209;216;218;221;224;224;224;224;226;226;229;231;234;236;237;239;242;244;247;;;;;;;;
2001-1;Nocturna;5;6;7;8;9;9;10;10;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;;;;;;;;
2001-1;Tarde;33;44;54;57;64;68;71;74;75;76;76;77;78;78;78;78;79;79;79;80;80;81;82;84;85;85;85;85;85;85;;;;;;;;
2001-2;Sin información;15;19;27;30;37;43;47;51;55;55;57;60;63;63;65;66;68;69;69;70;73;73;74;76;77;77;77;77;78;;;;;;;;;
2001-2;Completa;39;47;56;62;69;78;84;85;86;86;93;95;98;100;101;101;102;102;102;105;105;105;105;105;106;106;107;110;110;;;;;;;;;
2001-2;Mañana;62;76;87;99;114;123;136;137;142;146;150;156;159;165;168;169;170;171;173;174;175;176;176;177;180;180;182;183;185;;;;;;;;;
2001-2;Nocturna;7;7;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;;;;;;;
2001-2;Tarde;17;22;27;30;33;37;45;47;47;50;51;56;59;60;61;62;62;62;63;63;63;64;65;65;66;66;68;68;68;;;;;;;;;
2001-2;Sábados/Domingos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;
2002-1;Sin información;24;29;37;39;46;51;52;53;54;59;63;65;65;67;69;69;69;70;70;70;72;72;73;73;74;74;78;78;;;;;;;;;;
2002-1;Completa;61;78;88;96;105;109;114;119;122;130;135;137;138;145;146;147;148;148;149;150;151;151;152;152;155;156;158;160;;;;;;;;;;
2002-1;Mañana;80;98;121;139;152;164;172;182;184;201;209;214;216;218;222;223;224;227;227;228;228;229;231;232;232;233;233;235;;;;;;;;;;
2002-1;Nocturna;2;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;;;;;;;;;;
2002-1;Tarde;25;30;39;42;45;48;52;53;56;56;56;57;58;58;58;58;60;61;64;64;64;65;65;65;65;65;65;65;;;;;;;;;;
2002-2;Sin información;16;20;29;37;43;46;53;56;59;64;67;68;71;73;76;78;79;80;83;85;86;86;87;87;88;88;88;;;;;;;;;;;
2002-2;Completa;60;69;92;104;111;118;120;129;138;141;144;153;154;160;163;166;169;169;172;173;174;176;179;180;182;182;184;;;;;;;;;;;
2002-2;Mañana;84;105;133;152;163;175;184;188;194;204;206;214;215;218;219;221;226;228;229;230;230;236;239;239;239;241;242;;;;;;;;;;;
2002-2;Nocturna;11;13;16;19;20;20;20;20;20;20;21;22;22;22;22;22;22;22;22;22;22;22;22;23;23;23;23;;;;;;;;;;;
2002-2;Tarde;26;34;40;45;51;54;55;58;61;62;62;64;65;65;67;67;68;68;70;70;70;72;73;73;73;73;73;;;;;;;;;;;
2002-2;Sábados/Domingos;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;
2003-1;Sin información;12;19;23;26;29;31;34;38;38;39;39;41;42;44;45;45;46;47;48;50;52;52;53;55;55;55;;;;;;;;;;;;
2003-1;Completa;57;75;91;107;115;115;123;133;141;146;151;152;158;162;164;167;169;171;173;177;179;179;179;179;181;182;;;;;;;;;;;;
2003-1;Mañana;86;107;128;149;164;172;180;194;204;213;215;221;228;234;237;241;243;245;248;248;251;252;253;258;259;260;;;;;;;;;;;;
2003-1;Nocturna;2;5;5;6;6;6;6;7;7;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;;;;;;;;;;
2003-1;Tarde;19;26;34;36;40;42;45;45;46;47;47;48;48;49;49;50;51;51;51;52;53;53;53;53;53;54;;;;;;;;;;;;
2003-1;Sábados/Domingos;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;
2003-2;Sin información;46;58;65;84;90;101;114;120;124;129;135;141;143;146;151;155;156;157;159;160;167;167;171;175;178;;;;;;;;;;;;;
2003-2;Completa;34;50;64;68;74;75;82;95;100;102;106;110;113;117;119;121;122;122;125;128;128;128;130;132;132;;;;;;;;;;;;;
2003-2;Mañana;48;71;96;104;109;116;123;128;133;138;143;146;146;149;151;151;155;157;161;166;167;167;168;168;170;;;;;;;;;;;;;
2003-2;Nocturna;9;10;10;11;11;11;11;11;12;12;12;12;12;12;14;14;14;15;15;15;15;15;15;15;15;;;;;;;;;;;;;
2003-2;Tarde;17;26;33;35;35;36;38;40;41;42;43;45;45;46;46;46;46;47;47;47;48;48;49;50;50;;;;;;;;;;;;;
2003-2;Sábados/Domingos;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
2004-1;Sin información;27;45;55;63;72;81;91;95;96;98;99;100;104;106;107;108;109;110;113;114;115;119;121;122;;;;;;;;;;;;;;
2004-1;Completa;52;70;85;94;100;110;122;126;130;133;135;136;138;140;146;148;149;152;156;156;157;157;158;158;;;;;;;;;;;;;;
2004-1;Mañana;84;103;121;135;142;160;174;180;181;184;187;191;192;193;194;196;198;202;205;210;211;215;218;218;;;;;;;;;;;;;;
2004-1;Nocturna;7;10;11;13;14;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;;;;;;;;;;;;;;
2004-1;Tarde;13;18;23;27;31;32;34;36;36;37;38;38;39;40;40;41;41;42;42;42;42;44;45;47;;;;;;;;;;;;;;
2004-2;Sin información;88;111;126;146;160;169;180;188;196;205;211;215;220;223;226;235;239;241;244;245;249;252;254;;;;;;;;;;;;;;;
2004-2;Completa;42;57;72;74;82;87;91;96;99;103;104;107;108;108;111;111;112;114;116;118;118;118;119;;;;;;;;;;;;;;;
2004-2;Mañana;59;71;79;89;106;112;117;121;126;131;133;140;143;145;151;155;156;156;157;157;160;161;162;;;;;;;;;;;;;;;
2004-2;Nocturna;1;5;6;8;8;8;8;8;8;9;9;9;9;9;10;10;10;10;10;10;11;11;12;;;;;;;;;;;;;;;
2004-2;Tarde;19;27;30;32;34;34;35;35;36;38;39;40;42;42;42;43;43;43;44;44;45;45;45;;;;;;;;;;;;;;;
2004-2;Sábados/Domingos;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;
2005-1;Sin información;139;161;179;189;198;218;225;234;238;245;248;252;253;259;266;272;273;275;277;279;279;281;;;;;;;;;;;;;;;;
2005-1;Completa;87;110;120;131;140;154;165;170;172;174;174;176;178;181;184;186;186;189;190;192;192;194;;;;;;;;;;;;;;;;
2005-1;Mañana;136;165;190;205;224;243;256;267;277;284;287;293;297;299;301;306;311;314;314;317;323;324;;;;;;;;;;;;;;;;
2005-1;Nocturna;19;24;29;29;30;34;35;35;35;36;37;38;38;38;38;38;39;39;39;39;39;39;;;;;;;;;;;;;;;;
2005-1;Tarde;41;49;52;55;59;64;65;66;67;68;70;73;76;76;78;79;79;79;81;83;85;86;;;;;;;;;;;;;;;;
2005-1;Sábados/Domingos;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;
2005-2;Sin información;140;169;219;241;264;279;289;297;307;320;324;335;345;350;353;357;360;364;371;376;379;;;;;;;;;;;;;;;;;
2005-2;Completa;63;78;87;100;102;104;108;114;117;121;123;124;127;127;128;128;130;130;130;130;133;;;;;;;;;;;;;;;;;
2005-2;Mañana;94;112;123;135;145;159;164;168;173;175;177;181;182;187;191;193;194;194;196;196;199;;;;;;;;;;;;;;;;;
2005-2;Nocturna;16;19;22;22;23;23;25;28;29;29;29;29;29;31;31;31;32;32;32;32;32;;;;;;;;;;;;;;;;;
2005-2;Tarde;30;43;54;56;57;59;63;64;66;66;66;67;68;68;68;68;69;69;69;69;70;;;;;;;;;;;;;;;;;
2006-1;Sin información;121;139;149;157;160;169;173;178;179;186;190;193;196;198;198;199;199;200;202;204;;;;;;;;;;;;;;;;;;
2006-1;Completa;87;109;128;140;149;161;171;180;188;192;196;200;204;209;213;214;215;217;218;220;;;;;;;;;;;;;;;;;;
2006-1;Mañana;132;166;203;229;245;258;267;275;285;291;300;304;312;316;319;319;319;321;324;329;;;;;;;;;;;;;;;;;;
2006-1;Nocturna;28;32;39;39;41;44;46;48;49;50;50;51;52;52;52;53;53;53;53;53;;;;;;;;;;;;;;;;;;
2006-1;Tarde;36;49;59;67;72;76;80;84;86;89;91;94;98;100;101;104;104;104;104;105;;;;;;;;;;;;;;;;;;
2006-1;Sábados/Domingos;1;2;5;5;5;6;8;8;9;9;9;9;9;9;9;9;9;10;10;10;;;;;;;;;;;;;;;;;;
2006-2;Sin información;44;56;66;72;80;91;95;98;103;109;113;117;121;126;130;133;135;136;137;;;;;;;;;;;;;;;;;;;
2006-2;Completa;46;67;75;84;92;103;111;118;122;127;134;138;141;147;149;151;151;154;157;;;;;;;;;;;;;;;;;;;
2006-2;Mañana;71;98;118;139;160;169;177;184;193;199;203;204;210;216;217;222;227;228;231;;;;;;;;;;;;;;;;;;;
2006-2;Nocturna;10;17;17;19;20;20;20;20;22;22;23;23;23;23;23;24;24;24;24;;;;;;;;;;;;;;;;;;;
2006-2;Tarde;30;39;42;48;53;56;59;63;64;68;70;70;71;74;76;77;77;77;78;;;;;;;;;;;;;;;;;;;
2006-2;Sábados/Domingos;9;12;16;17;20;20;22;23;24;24;26;27;28;29;30;30;31;32;33;;;;;;;;;;;;;;;;;;;
2007-1;Sin información;56;69;77;84;94;103;108;113;118;121;124;126;129;131;133;135;136;139;;;;;;;;;;;;;;;;;;;;
2007-1;Completa;83;113;132;147;168;179;183;191;195;203;205;209;213;214;215;217;219;220;;;;;;;;;;;;;;;;;;;;
2007-1;Mañana;128;176;211;234;250;257;268;274;281;287;302;317;320;324;324;327;333;335;;;;;;;;;;;;;;;;;;;;
2007-1;Nocturna;11;14;16;17;18;19;19;20;20;20;21;21;23;24;24;24;24;24;;;;;;;;;;;;;;;;;;;;
2007-1;Tarde;33;50;55;60;62;66;70;74;75;77;78;80;81;82;82;86;88;89;;;;;;;;;;;;;;;;;;;;
2007-1;Sábados/Domingos;13;14;17;17;18;20;20;21;21;22;22;23;24;25;25;26;26;26;;;;;;;;;;;;;;;;;;;;
2007-2;Sin información;47;58;64;70;71;77;81;90;91;95;97;102;103;105;107;111;113;;;;;;;;;;;;;;;;;;;;;
2007-2;Completa;61;91;109;124;137;150;160;173;181;185;189;190;193;199;201;203;208;;;;;;;;;;;;;;;;;;;;;
2007-2;Mañana;104;143;173;193;206;225;236;248;260;271;281;295;297;298;302;304;309;;;;;;;;;;;;;;;;;;;;;
2007-2;Nocturna;13;16;17;18;19;20;21;21;21;22;22;22;23;23;23;24;24;;;;;;;;;;;;;;;;;;;;;
2007-2;Tarde;28;40;43;52;57;66;70;73;77;78;80;81;81;83;86;86;86;;;;;;;;;;;;;;;;;;;;;
2007-2;Sábados/Domingos;3;3;4;6;7;7;7;7;7;8;8;8;8;8;8;9;9;;;;;;;;;;;;;;;;;;;;;
2008-1;Sin información;52;65;70;79;87;97;108;113;115;120;127;130;132;136;140;142;;;;;;;;;;;;;;;;;;;;;;
2008-1;Completa;71;98;121;134;141;155;161;165;169;173;178;180;182;188;195;198;;;;;;;;;;;;;;;;;;;;;;
2008-1;Mañana;119;172;206;236;254;274;289;299;309;317;326;333;341;361;363;371;;;;;;;;;;;;;;;;;;;;;;
2008-1;Nocturna;19;25;26;26;27;31;33;34;35;36;36;38;38;39;40;40;;;;;;;;;;;;;;;;;;;;;;
2008-1;Tarde;26;38;53;60;65;69;72;73;78;80;82;83;84;87;88;90;;;;;;;;;;;;;;;;;;;;;;
2008-1;Sábados/Domingos;6;10;11;11;11;11;11;12;12;12;12;12;12;12;12;13;;;;;;;;;;;;;;;;;;;;;;
2008-2;Sin información;40;54;64;69;73;75;81;87;90;97;100;101;105;109;113;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Completa;52;74;94;110;122;127;136;145;156;165;173;173;182;186;188;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Mañana;97;138;165;189;207;223;233;252;265;270;277;283;295;300;305;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Nocturna;17;24;28;28;29;30;31;32;32;33;33;33;33;33;34;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Tarde;30;42;48;59;61;62;69;72;76;80;86;89;89;90;92;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Sábados/Domingos;3;4;5;5;5;6;6;6;6;6;6;6;7;7;7;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Sin información;39;51;59;63;67;83;90;95;101;106;107;112;116;119;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Completa;94;122;149;165;177;191;207;218;230;236;243;252;255;263;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Mañana;124;172;206;234;251;284;301;316;326;334;341;360;370;377;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Nocturna;18;21;21;25;26;26;27;28;28;28;28;29;29;30;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Tarde;28;44;49;52;53;59;64;66;66;69;69;72;72;75;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Sábados/Domingos;1;4;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Sin información;28;41;53;59;64;78;86;86;86;88;98;103;108;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Completa;58;86;102;117;132;143;158;164;169;174;181;184;189;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Mañana;97;141;167;190;208;233;248;262;268;272;281;284;287;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Nocturna;11;16;18;18;20;20;21;21;21;22;23;23;23;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Tarde;26;32;37;43;46;52;52;59;61;63;64;67;68;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Sábados/Domingos;3;4;4;5;6;6;6;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Sin información;45;53;58;64;69;81;89;91;95;96;97;103;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Completa;80;111;129;148;161;171;178;187;189;193;198;204;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Mañana;103;152;191;225;261;281;293;309;321;346;349;364;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Nocturna;13;18;21;22;23;23;23;23;24;25;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Tarde;31;45;54;63;68;75;79;79;81;86;86;88;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Sábados/Domingos;1;1;1;1;1;2;2;2;2;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Sin información;29;38;48;50;57;66;69;72;74;77;82;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Completa;65;97;127;154;172;178;188;196;209;215;223;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Mañana;104;164;215;242;267;291;307;326;339;347;365;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Nocturna;11;16;17;19;20;21;22;22;22;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Tarde;30;41;58;66;68;72;74;77;79;84;85;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Sábados/Domingos;7;10;13;13;15;16;17;18;18;18;19;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Sin información;42;49;57;60;63;66;70;76;76;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Completa;113;151;186;200;215;222;229;239;249;262;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Mañana;223;292;347;383;405;418;429;448;466;493;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Nocturna;24;30;36;37;39;41;41;43;45;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Tarde;39;57;69;74;77;81;83;85;89;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Sábados/Domingos;9;10;11;11;12;13;13;13;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Sin información;15;18;22;28;32;34;39;42;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Completa;69;88;114;133;143;151;161;170;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Mañana;122;169;207;230;252;259;275;288;301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Nocturna;16;17;19;22;23;24;24;25;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Tarde;27;35;44;49;49;52;57;60;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Sábados/Domingos;9;10;14;14;14;14;14;14;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Sin información;19;26;33;37;39;44;50;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Completa;95;132;170;191;199;231;240;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Mañana;152;202;251;284;302;327;348;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Nocturna;17;21;23;27;29;31;31;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Tarde;34;37;49;59;66;76;78;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Sábados/Domingos;7;9;10;11;11;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Sin información;15;19;22;30;35;37;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Completa;68;96;113;130;143;151;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Mañana;133;173;208;228;244;264;283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Nocturna;14;18;21;21;22;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Tarde;34;47;59;63;73;76;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Sábados/Domingos;6;10;12;12;13;13;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Sin información;20;24;26;32;33;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Completa;99;130;150;174;193;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Mañana;182;235;283;339;369;395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Nocturna;22;26;31;33;34;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Tarde;40;55;66;83;89;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Sábados/Domingos;7;7;8;9;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Sin información;25;37;69;82;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Completa;58;74;96;111;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Mañana;107;132;175;204;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Nocturna;11;13;16;17;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Tarde;31;40;48;54;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Sábados/Domingos;2;3;6;9;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Sin información;13;35;40;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Completa;57;145;176;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Mañana;63;207;265;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Nocturna;5;11;13;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Tarde;14;38;49;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Sábados/Domingos;3;6;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Sin información;31;48;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Completa;89;115;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Mañana;142;179;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Nocturna;10;14;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Tarde;45;55;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Sábados/Domingos;6;8;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Sin información;38;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Completa;112;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Mañana;185;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Nocturna;17;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Tarde;36;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Sábados/Domingos;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Sin información;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Completa;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Mañana;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
