Sem;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2001-1;14.93;18.56;22.53;24.79;27.6;28.9;30.68;32.05;32.53;32.95;33.56;34.32;35.27;35.55;35.96;36.23;36.3;36.51;36.64;36.99;37.12;37.4;37.67;38.36;38.63;38.9;39.18;39.45;39.73;40.0;;;;;;;;
2001-2;12.4;15.15;18.07;20.28;23.21;25.69;28.43;29.14;30.03;30.65;31.89;33.3;34.37;35.16;35.78;36.05;36.4;36.58;36.85;37.29;37.64;37.82;38.0;38.26;38.8;38.8;39.24;39.59;39.86;;;;;;;;;
2002-1;12.1;15.06;18.27;20.29;22.31;23.82;24.95;26.02;26.59;28.48;29.55;30.18;30.43;31.13;31.57;31.7;31.95;32.26;32.51;32.64;32.83;32.96;33.21;33.27;33.52;33.65;34.03;34.28;;;;;;;;;;
2002-2;13.2;16.2;20.8;23.93;26.0;27.67;28.93;30.2;31.6;32.87;33.47;34.87;35.27;36.0;36.6;37.07;37.73;37.93;38.53;38.8;38.93;39.6;40.13;40.27;40.47;40.6;40.8;;;;;;;;;;;
2003-1;10.65;14.02;16.97;19.55;21.36;22.08;23.41;25.15;26.29;27.26;27.74;28.4;29.24;30.02;30.39;30.87;31.23;31.53;31.89;32.31;32.79;32.85;32.97;33.39;33.57;33.75;;;;;;;;;;;;
2003-2;10.67;14.9;18.57;20.93;22.11;23.49;25.5;27.3;28.41;29.31;30.42;31.46;31.88;32.64;33.4;33.82;34.23;34.58;35.2;35.83;36.45;36.45;37.01;37.49;37.84;;;;;;;;;;;;;
2004-1;11.27;15.15;18.17;20.44;22.11;24.51;26.85;27.83;28.26;28.82;29.25;29.62;30.11;30.48;30.97;31.34;31.59;32.14;32.76;33.13;33.31;33.93;34.36;34.61;;;;;;;;;;;;;;
2004-2;14.53;18.92;21.84;24.34;27.19;28.58;30.04;31.22;32.41;33.87;34.56;35.61;36.37;36.72;37.62;38.6;39.01;39.29;39.78;39.99;40.61;40.89;41.24;;;;;;;;;;;;;;;
2005-1;19.6;23.62;26.49;28.29;30.24;33.1;34.63;35.83;36.62;37.45;37.86;38.6;39.07;39.57;40.22;40.87;41.19;41.56;41.79;42.21;42.58;42.86;;;;;;;;;;;;;;;;
2005-2;19.19;23.56;28.26;31.0;33.07;34.92;36.32;37.55;38.72;39.79;40.24;41.19;42.03;42.7;43.14;43.48;43.93;44.15;44.66;44.94;45.5;;;;;;;;;;;;;;;;;
2006-1;18.32;22.48;26.37;28.81;30.39;32.29;33.7;34.96;36.0;36.95;37.81;38.49;39.39;39.98;40.34;40.62;40.66;40.93;41.2;41.66;;;;;;;;;;;;;;;;;;
2006-2;12.17;16.75;19.36;21.97;24.64;26.61;28.06;29.33;30.61;31.83;32.99;33.57;34.43;35.65;36.23;36.93;37.39;37.74;38.26;;;;;;;;;;;;;;;;;;;
2007-1;15.41;20.73;24.16;26.58;29.01;30.62;31.76;32.95;33.76;34.71;35.76;36.9;37.57;38.04;38.18;38.75;39.28;39.61;;;;;;;;;;;;;;;;;;;;
2007-2;13.63;18.69;21.83;24.65;26.46;29.02;30.62;32.59;33.92;35.09;36.05;37.17;37.54;38.13;38.71;39.24;39.88;;;;;;;;;;;;;;;;;;;;;
2008-1;12.65;17.61;21.02;23.56;25.25;27.49;29.09;30.04;30.99;31.85;32.84;33.49;34.05;35.52;36.17;36.86;;;;;;;;;;;;;;;;;;;;;;
2008-2;12.4;17.43;20.95;23.86;25.78;27.13;28.84;30.81;32.42;33.77;35.01;35.53;36.88;37.6;38.33;;;;;;;;;;;;;;;;;;;;;;;
2009-1;13.49;18.38;21.7;24.15;25.7;28.76;30.8;32.31;33.56;34.53;35.2;36.84;37.59;38.57;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;12.74;18.29;21.77;24.69;27.2;30.4;32.63;34.17;34.91;35.71;37.31;38.11;38.91;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;12.42;17.29;20.66;23.79;26.52;28.8;30.21;31.44;32.39;34.08;34.53;35.9;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;12.11;18.02;23.54;26.78;29.49;31.71;33.33;35.01;36.48;37.57;39.19;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;18.98;24.84;29.78;32.26;34.2;35.47;36.48;38.13;39.65;41.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;14.83;19.37;24.14;27.36;29.48;30.69;32.76;34.43;36.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;13.75;18.12;22.75;25.85;27.42;30.6;32.22;33.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;15.54;20.9;25.04;27.86;30.51;32.47;34.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;16.09;20.74;24.52;29.13;31.65;33.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;13.45;17.18;23.56;27.41;30.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;7.07;20.16;25.05;28.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;17.84;23.14;28.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;17.3;22.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;19.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
