NUMERO_PERSONAS_FAMILIA;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
1;0.24%;0.52%;0%;0%;0%;0%;0%;0%;0.65%;0%;0%;0%;0%;0%;1.72%;0.37%;0.22%;0.3%;0.47%;0.42%;0.26%;0.54%;0.24%;0.39%;0.19%;0.45%;0.3%;0.12%;0.19%;0.2%;0.18%;0.26%
2;2.15%;0.52%;1.63%;2.73%;0%;2.22%;0%;2.7%;6.54%;2.27%;3.33%;1.37%;4.26%;1.54%;1.72%;2.8%;4.95%;4.19%;4.32%;3.97%;3.59%;3.69%;3.84%;4.52%;4.48%;5%;4.31%;4.66%;5.12%;5.38%;4.56%;5.14%
3;9.57%;9.79%;12.2%;6.36%;8.99%;11.11%;3.13%;13.51%;17.65%;12.88%;13.33%;8.22%;12.77%;7.69%;9.48%;15.59%;14.05%;15.09%;15.63%;15.18%;15.98%;17.99%;15.42%;16.6%;17.21%;16.24%;17.39%;16.25%;19.64%;18.01%;18.12%;17.74%
4;25.84%;29.9%;28.46%;20.91%;26.97%;17.78%;18.75%;32.43%;17.65%;21.97%;20%;23.29%;25.53%;27.69%;17.24%;41.66%;33.19%;31.78%;30.2%;33.81%;33.76%;34.5%;34.05%;33.01%;33.8%;34.76%;33.8%;34.83%;33.65%;34.88%;34.73%;34.32%
5;32.3%;31.96%;29.27%;39.09%;22.47%;37.78%;25%;27.03%;22.88%;26.52%;26.67%;27.4%;18.09%;24.62%;28.45%;19.61%;25.66%;28.13%;27.95%;26.28%;24.39%;25.37%;26.26%;23.71%;26.52%;24.11%;25.77%;24.16%;24.58%;24.32%;26.34%;24.55%
6;16.99%;13.92%;15.45%;20.91%;23.6%;13.33%;21.88%;13.51%;18.95%;18.18%;17.33%;20.55%;19.15%;16.92%;23.28%;12.91%;12.04%;11.43%;12.31%;10.74%;11.58%;10.2%;10.55%;11.43%;9.45%;9.81%;9.76%;10.48%;9.63%;10.23%;8.85%;9.9%
7;7.66%;8.76%;8.13%;6.36%;11.24%;6.67%;25%;5.41%;7.19%;9.09%;11.33%;12.33%;7.45%;13.85%;10.34%;2.56%;5.3%;4.8%;4.91%;4.86%;5.38%;4.23%;4.82%;4.33%;4.29%;4.16%;4.41%;4.9%;4.09%;4.05%;3.56%;4.5%
8;3.83%;2.58%;3.25%;3.64%;5.62%;11.11%;6.25%;2.7%;4.58%;6.82%;4.67%;5.48%;9.57%;4.62%;4.31%;2.8%;2.08%;2.06%;1.6%;2.43%;2.36%;1.88%;2.38%;2.78%;2.22%;2.73%;2.03%;2.51%;1.79%;0.93%;1.69%;1.67%
9;1.44%;2.06%;1.63%;0%;1.12%;0%;0%;2.7%;3.92%;2.27%;3.33%;1.37%;3.19%;3.08%;3.45%;1.34%;1.22%;0.91%;1.18%;1.07%;1.08%;0.6%;1.22%;1.49%;1.06%;1.23%;0.99%;1.04%;0.47%;0.6%;0.64%;0.71%
10;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0.24%;0.5%;0.53%;0.53%;1.07%;0.56%;0.54%;0.68%;0.84%;0.43%;0.71%;0.59%;0.55%;0.33%;0.47%;0.55%;0.64%
11;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0.12%;0.36%;0.46%;0.36%;0.06%;0.26%;0.07%;0.15%;0.52%;0.1%;0.32%;0.25%;0%;0.14%;0.27%;0.32%;0%
12;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0.43%;0.3%;0.53%;0.12%;0.82%;0.4%;0.39%;0.39%;0.24%;0.45%;0.4%;0.49%;0.38%;0.66%;0.46%;0.51%
13;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0.06%
