;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_1;;4.532852741166584;;;4.76248962635327;4.872664175991464;4.804509569594298;4.592271442423279;4.582999379150754;;4.9118872178529465;4.73382310122001;4.5741033112345635;;4.30347459530498
2000_2;;4.124686787726327;;;4.833849419122922;4.514442680398095;4.600271605313825;4.510418897073475;4.468470513974642;;4.854513134641581;4.643927620778267;3.9368085866079285;;3.970106643771513
2001_1;;4.127393877229354;;;5.275255795964076;4.509956394429826;6.002973282668341;4.42521196042407;4.812806155859969;;4.150829885844342;4.29182540937187;3.863499223548948;;4.03650054292821
2001_2;;3.924211266798591;;;4.40807550006488;4.658604932366623;4.68681842183112;4.869172852703545;4.618658309554779;;4.338647377204454;4.460151645981981;4.1146800585716985;;3.9561210352924476
2002_1;;3.8391326871299163;;;4.97034429062712;4.626749657140225;4.248622244050168;4.111225664589713;4.779909140842253;;4.736317845798753;4.39576945650048;4.101386038575469;;3.678032038450732
2002_2;;4.581806136840435;;;4.570518917954392;4.518624101585592;4.745973987693125;4.023047563706749;4.197700514566057;;4.6302082011844705;5.019690030633846;4.682030225521696;;4.055647941091655
2003_1;;4.435777866931821;;;4.3936934098100675;4.524627372417196;4.997231748045128;4.217383433812974;4.765843076855278;;4.227777863974024;4.513839432566915;4.17363979727327;;3.887827550451552
2003_2;;4.498061525929965;;;4.392203002281086;4.947626829627537;5.130382041327273;4.217128755145568;4.359066927949008;;6.683336833453493;5.79445726224469;3.9657520831425956;;4.422610709495527
2004_1;;4.373564888134136;;;6.58817589696268;4.641622500278489;4.573392740882852;3.8634760846095046;4.434897814039327;;6.8696709385059735;6.332931755042303;5.407149843373578;;4.237296160182288
2004_2;;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;;-1.0
2005_1;-1.0;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2005_2;197.32103482922824;5.00203478857185;;;5.578966980667588;5.75511201003372;4.6657144894069535;4.837721371861919;4.864845131382767;;5.615775586401957;6.168357988276399;5.785327432268881;0.37955195927068575;4.582430685731624
2006_1;188.81264617434698;5.659697248243626;;3.621382550664632;5.79940091315429;5.574113365382553;;;6.5524259012610795;;5.682171704622322;5.6623411407109545;6.35537035400254;0.46022654589218315;4.245223315342823
2006_2;196.3930148966615;5.172952657249644;;5.859835861923333;5.590713599705188;5.476672377793056;;;5.855990772552684;;5.547641474444715;4.891339836286909;5.996140384197148;0.3580544785000618;4.06357331673021
2007_1;184.3480129282241;4.728771026465868;;6.031358636698244;5.412590525154506;5.172048021640833;;;;5.609721343059925;5.9908144883775645;4.967572292587043;6.5754742049304;0.41010890973131237;4.2524365210331565
2007_2;182.18701824416218;4.925702936284852;;5.90336290388934;5.001685722337374;5.389533236924455;;;;3.527940250898088;5.741420955284368;5.163850716475677;6.650789533635451;0.5415748564943939;4.048032151669035
2008_1;193.1121976916513;5.144618097309743;;5.675073349399212;6.493400664419073;5.745127805185088;;;;5.591903227210942;6.86054504228576;5.756512260603408;7.728437430899599;0.6221464430814326;5.04730275964368
2008_2;219.34687562275832;4.6930364486597895;;6.481067795652803;5.844711504862788;5.539620357832893;;;;5.736334155544129;5.5430007135081;4.822103305240519;6.885943990071716;0.6531173636610068;4.577777246239025
2009_1;202.3181266241824;5.836928069219857;;5.553998905273895;5.613288852779297;5.897131703469663;;;;5.61716429856493;5.582750640665596;5.75352029304972;7.74561841421068;0.6320772611429227;4.964099943898042
2009_2;218.95057410183918;4.68752729587927;;6.475795605712383;5.850112405368462;5.546451632534244;;;;5.742192542894284;5.543266969025877;4.823778550447622;6.858247228124034;0.6536731117760922;4.580320072660635
2010_1;181.693575135123;5.1950998955422225;;5.969051113962086;6.309809902549988;6.617770272942728;;;;7.907072444845875;5.696807304755497;5.425112125333097;6.755301642061636;0.7017116477919327;5.4105390989403865
2010_2;219.2853253372453;7.394892057350143;9.10481673272172;7.362359107836584;7.34457776104226;7.539773676328943;;;;6.071599057094376;;7.362224000598081;7.220406988480251;;7.176271891408943
2011_1;202.46438968912594;6.215943709742269;3.4437159825867987;7.118632834371029;6.743351939877918;6.580795893180975;;;;7.920318891075574;;5.367323559909056;8.797206768312986;;5.62219372893886
2011_2;218.11054131262026;7.320211248401899;8.254356037449435;7.443022158388345;9.017620487494401;7.204598735648257;;;;5.32904867205398;;8.039512500290822;8.509832702756066;;5.743071742909318
2012_1;203.29604214569136;6.100714620266582;4.658195937234768;5.833074048457613;7.656570299627158;8.3071997309483;;;;8.532289067230728;;5.86330051324782;8.383829773568305;;5.909818458469435
2012_2;216.10057687853228;5.831202206743101;12.23932947781916;6.544021457166458;6.600762959946273;5.666541481351652;;;;6.308009043234958;;5.161503280845592;8.054329859551544;;4.544868711697054
2013_1;197.9367187192967;5.2286786189285195;3.4195759246147928;5.8357651732035976;7.732993509429063;7.204948380015992;;;;8.080058186340283;;8.780478569311077;9.575451946306766;;6.661616798497943
2013_2;216.09525613507668;5.72687192387221;9.40360163357268;5.844550281676852;6.797468573437558;8.068263368122873;;;;5.967308194415283;;5.390266648910929;7.3214264358255505;;6.117990560280136
2014_1;198.82820879721086;5.708840298507612;3.082327866323957;7.895589793837637;7.208826016836926;8.854731726277823;;;;7.890605561911125;;5.83653459407895;7.543844987720374;;6.649255727510834
