;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_2;;5.307542634313266;;;5.564466513589822;5.276149324691524;5.171688695789153;5.0124461816519235;6.036081878421112;;11.23475956680021;6.120201311116346;5.184715095746801;;4.749951791359045
2001_1;;4.806903940490876;;;5.994256946746306;4.880773770434948;6.7556100058465365;4.912514523166448;5.557189817430963;;11.518287805127187;4.963090770322174;3.9774437531146725;;4.718827172961396
2001_2;;4.591022264985094;;;5.057847971248997;5.076476348155894;5.743113707575515;5.338564294610777;5.652842458456273;;10.67229445464426;5.0909404845351585;4.35970529703618;;4.5610811796187365
2002_1;;4.247606078498095;;;5.326895319532646;4.870102112173282;5.026334222859051;4.741166136066401;6.15593387206016;;5.886393448810849;5.125365138756387;4.305276953333299;;4.063982062174238
2002_2;;5.544759986443804;;;5.909947134135898;5.07230096184911;5.020566753914177;4.84939942631178;6.71980693817145;;11.36300895516046;6.044502455283045;5.490696517602404;;4.538688231862918
2003_1;;5.341580300850033;;;4.967319475260628;5.286501962829375;5.490054465043983;4.704167271385546;5.990201111977327;;4.614452808137957;5.448064595361581;4.494008743657832;;4.264738103057732
2003_2;;5.725400935426494;;;5.639171009677035;5.598912177764695;6.231687493680231;4.870136009405796;5.360245182859871;;9.20831230765285;6.836903860232105;5.528141518784213;;5.15298096680352
2004_1;;5.2186428258787725;;;8.558157075762018;5.102000597770563;5.730015133551124;4.265256971823204;5.824606396775557;;9.49441230152541;8.177992564099796;5.732908713294328;;5.373449562608562
2004_2;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_1;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_2;-1;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;-1;-1
2006_1;247.58751371034774;6.417422444243103;;;7.32263086349276;6.206068461105069;;;8.200766575523382;;5.87673629004097;8.878063249780713;9.747441405491307;1.0451747450008;4.93222370226765
2006_2;258.41653065459644;6.707082634107224;;6.8653972820811715;6.836634219599396;7.039333707165641;;;10.850858301761075;;6.052822460447289;5.742499756919674;11.575952598932858;0.8742781405193145;5.196432234393092
2007_1;251.19839961650916;5.572271687147442;;7.735288913030835;6.256688163803457;5.597352755311028;;;;;6.008339752945376;6.265061753911972;7.400360951327272;0.740392312492459;5.543882279090292
2007_2;250.07796951930354;5.918082955369131;;8.333826440372976;5.743950065473575;5.967018765789161;;;;7.231370880389213;6.932054087296847;6.82661276990976;7.731415690118877;0.7211825502667351;5.111734941997197
2008_1;243.85279426039062;5.750554337162034;;7.1081577228644095;8.126840211929306;6.2709052820516336;;;;7.628198969219461;6.914744386296789;7.190679885672396;8.881024525716581;0.6708140743427229;5.738999198726137
2008_2;247.91336750766607;5.699380708882372;;6.92276446781025;5.766437607747333;6.1924366984861114;;;;8.209611334253466;6.624270615664078;6.579356136655873;7.352140283193625;0.9297900104659098;5.569827045688237
2009_1;244.8901226293043;6.700956694888142;;6.475594022544781;6.89226679483342;6.151414540527654;;;;8.42625237396096;6.107128674125392;7.693834989434162;8.972932819493563;0.7351579888217473;5.530145040574949
2009_2;262.55262012460446;5.449227295211524;;7.0312794044159785;7.229868863533831;6.084716923780608;;;;8.448546261345255;6.071481571647941;6.051321434566031;8.912792257772495;0.7152411664851692;5.402879418887082
2010_1;294.8287886037313;6.285010357197239;;7.355957900153139;8.849149410321331;7.773650775674139;;;;12.809561191552918;5.74630949569179;7.534598233855967;9.27906249539962;0.7913242708489108;7.202798907554952
2010_2;296.6470195900459;10.058787638682366;;9.548045811011209;13.855303286236811;13.433248328161449;;;;11.227040492316076;;9.615667200709636;9.622046726793505;;9.409573147117934
2011_1;249.02003416811831;7.238581652552536;12.572401652762517;7.883055944490373;8.924611368603681;7.85796225479482;;;;10.173051347637275;;6.089830600418709;10.205777370809109;;6.709774874012046
2011_2;267.82187515769226;8.827626227292814;22.120149725569803;8.907812495775746;10.408068295998154;8.176438532728817;;;;11.34664829793431;;9.434187433427208;11.154846335500302;;6.80272220599881
2012_1;263.36636506426663;7.8411155183327725;22.696844577262528;6.774996740394435;8.432004189562615;9.552104000291786;;;;10.349127950946514;;8.029902180326884;9.310773437709214;;6.664094682177225
2012_2;271.8509308575862;6.395077749719784;24.540664469010437;7.42526380149054;7.63576094346366;6.691585910350787;;;;8.72471769256901;;7.078976120323504;9.552737997988139;;5.624765618115812
2013_1;247.57325208664236;6.172759137985826;22.473408724683157;7.343979018080034;9.28768780270186;8.021921871449374;;;;11.720723590045129;;10.240339740857895;11.993207097219697;;7.746488857563685
2013_2;263.69702889335554;6.9813876204533845;21.12105622360927;7.02172352443091;7.911257149941412;9.49268726431846;;;;11.877951846430895;;7.375300060685747;9.85755784942811;;7.51282675616718
2014_1;265.67481186658216;6.810905188661674;20.80071270583722;8.967890569446764;8.409487108846172;10.329948397869764;;;;10.705817262809683;;6.992474054299282;9.374805155011593;;7.981300864443285
