;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_1;;4.428484988898778;;;4.704588660581122;4.8286142596148975;4.758948640042026;4.506297424028391;4.897442821446177;;5.080152750750339;4.705585220872935;4.547980468842964;;4.259761500388352
2000_2;;4.049297897208573;;;4.78567481281552;4.5083940987123;4.548438688421724;4.437366001077573;4.453771448228921;;7.09248641454535;4.548139225317575;3.926115070398513;;3.914804379247014
2001_1;;4.052622005609526;;;5.2228027772242545;4.485625362311202;5.903903979264201;4.3471154052525804;5.088936656012114;;7.096234507481077;4.244061754523484;3.8161839793409795;;3.991079597921037
2001_2;;3.8644891393140997;;;4.378730258124212;4.627422427385467;4.622077917933867;4.774028569262315;4.61729990451131;;4.750380447254288;4.381735198070837;4.093882988952203;;3.886096856380432
2002_1;;3.767381533305323;;;4.903267383370052;4.585949450083755;4.163521552580997;4.054860406752191;5.049062438024977;;5.98637829754388;4.355911963929335;4.080520596167139;;3.601233853031009
2002_2;;4.509900968531537;;;4.542325956458049;4.517806107032161;4.677985715991885;3.970436255356057;4.219947995312668;;5.860987822488722;4.923340962981475;4.642992969299518;;4.029257582299688
2003_1;;4.2958867016753;;;4.377806558209912;4.442777203588319;4.935103772142735;4.131953048852827;4.954892539481838;;5.5692565602930895;4.396772504030702;4.113486847874263;;3.859412586869305
2003_2;;4.388237100483906;;;4.376878794492543;4.893449210052396;5.075642927738767;4.186030903222667;4.4168943661297275;;6.644941165178006;5.65936760974222;3.9729682126880492;;4.337940721662244
2004_1;;4.337819283774775;;;6.538928741608527;4.607228507900883;4.554274604424809;3.8566963187267467;4.812150340270819;;6.810149131813736;6.337168415578397;5.345135833458812;;4.233477254851772
2004_2;;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;;-1.0
2005_1;-1.0;-1.0;;;-1.0;-1.0;-1.0;-1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
2005_2;193.47551121346405;4.978577054579574;;;5.553503665139985;5.772917127424584;4.634957890313609;4.813130784552234;4.878211017276551;;4.481143164931656;6.089009492482406;5.817000755920851;0.38365486249818215;4.572546597477396
2006_1;185.468975625008;5.57068569187485;;3.601218438492212;5.701581330290301;5.5682851986420125;;;6.844993004408339;;5.58829393670523;5.6114075452401435;6.416265223448518;0.43305194503203925;4.224278249073632
2006_2;192.2656749902187;5.131083294759629;;5.796282196296678;5.537990748735498;5.477842147157111;;;5.881121560444299;;4.470473051199624;4.8399622875980395;5.995851410058373;0.3596528949989913;4.0652647477281
2007_1;178.6115007664747;4.659537977392554;;5.860486742164371;5.347824313757265;5.156104152942694;;;;5.646138493281843;5.90846259445466;4.867913816637449;6.487001662456026;0.3734350489767596;4.238390543668874
2007_2;174.5823729899396;4.817068857095893;;5.696621776017137;4.95431262406324;5.3399704933117045;;;;2.890902850687989;5.7345712734058765;4.9833891089807105;6.629570091656648;0.33546122982679316;3.988154459927032
2008_1;181.99367826326502;5.002054008360484;;5.567957347212877;6.31226422739657;5.6902423782253475;;;;5.317663155098747;6.848873837427428;5.680342961184985;7.460244217386207;0.615870906851643;4.926949383245777
2008_2;217.63721204437684;4.670942606949241;;6.4725288224289015;5.842645215007534;5.527762076694983;;;;5.917188671400907;5.579445740278973;4.812564464748922;6.857864522445229;0.6539589356790925;4.596509226702558
2009_1;181.2484636627301;5.494768603588511;;5.298428854420402;5.461554653383315;5.879406997782796;;;;4.751403648850307;5.513374785996474;5.394208742956614;7.288241219105151;0.5986187328847165;4.733200965833619
