;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_2;;5.086049774132965;;;8.57207225783676;5.206652465724359;5.110677244807073;5.014987158900121;5.101405336730267;;10.62660832424581;6.471885687713349;4.222840405879169;;4.7528208163319725
2001_1;;4.750717858096201;;;6.172527790736108;4.578447111072753;6.220905883391015;4.898611222470288;5.615915701057659;;5.443947616308032;4.791033720926351;4.063819331612673;;4.622951737795343
2001_2;;4.042589819988373;;;4.875320293263138;4.731856490153579;5.253051592009006;5.011694438674579;5.221566066469793;;5.610739662073343;4.611093535404752;4.293061120232416;;4.1282860155849495
2002_1;;3.923000896766522;;;5.073009230756554;4.721937063087695;4.8977261321447045;4.402854333041853;5.067217309696715;;5.72822476003078;4.666536905130016;4.188933682245606;;3.6978498941539035
2002_2;;4.6606813989323985;;;5.047703126031762;4.967948793050757;4.813326877360617;4.327441190636652;4.404838656185878;;4.841928314772148;5.103923945234507;4.799290426577791;;4.407703005187477
2003_1;;4.797270751442934;;;4.927975546120931;7.2597734903583;5.666586466623969;4.476545346981504;5.929394429569031;;5.355456094862967;4.746906880189809;4.551079281721452;;4.938848955998162
2003_2;;5.042833709716189;;;5.42627265823143;5.116244948537428;5.58130762036754;4.4264129112599;5.939210982068624;;8.997286034941883;6.467827994087561;4.21468266327208;;5.231654768396468
2004_1;;4.879673582632755;;;8.125068439974127;4.867579390853423;5.011557373354744;4.213786785114884;5.522712725879838;;7.477134975537924;6.8216105377309555;5.56500034554573;;4.674401871028461
2004_2;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_1;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_2;-1;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;-1;-1
2006_1;-1;-1;;;-1;-1;;;-1;;-1;-1;-1;-1;-1
2006_2;-1;-1;;-1;-1;-1;;;-1;;-1;-1;-1;-1;-1
2007_1;-1;-1;;-1;-1;-1;;;;;-1;-1;-1;-1;-1
2007_2;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2008_1;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2008_2;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2009_1;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2009_2;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2010_1;-1;-1;;-1;-1;-1;;;;-1;-1;-1;-1;-1;-1
2010_2;-1;-1;;-1;-1;-1;;;;-1;;-1;-1;;-1
2011_1;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2011_2;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2012_1;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2012_2;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2013_1;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2013_2;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
2014_1;-1;-1;-1;-1;-1;-1;;;;-1;;-1;-1;;-1
