;ESTU_PUESTO;PUNT_BIOLOGIA;PUNT_COMP_FLEXIBLE;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_FISICA;PUNT_GEOGRAFIA;PUNT_HISTORIA;PUNT_IDIOMA;PUNT_INGLES;PUNT_INTERDISCIPLINAR;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_PROFUNDIZACION;PUNT_QUIMICA
2000_2;;6.190153929449565;;;5.936142663785151;5.573973600201234;5.626867330395231;5.8214873208538584;9.578791174031538;;11.889145697269123;6.579655346491629;5.629613530593632;;6.250631204425564
2001_1;;12.474250184871975;;;12.003690523015766;7.978654666667229;13.582068368817845;13.65547470649307;13.695557664107191;;10.888511993726704;14.23639207976484;6.558139876643779;;14.08450327081568
2001_2;;4.635383813141881;;;4.980616214045532;4.8751735629312885;5.956406591937163;5.275471450663456;6.942728298424241;;8.478017120532595;4.83562368518972;4.375766381721958;;4.638567694410118
2002_1;;4.396045504980352;;;5.277963182207311;4.896227487994913;4.88821229942449;4.781407425803349;6.16801592530785;;6.7061699272083635;5.187716253855581;4.270347488309484;;4.096462474907539
2002_2;;5.447391259212842;;;5.392694717551604;5.055084806659617;5.148024747222487;4.871059803346662;6.944967329508168;;11.88429665636674;6.145081127795524;5.377487647793772;;4.904257387093045
2003_1;;7.265458572723387;;;5.265570891698734;5.3123595739168605;6.856761595746441;6.179962962423907;6.466825124745494;;5.9116822786528065;8.383245793110044;6.041389130714376;;5.208431585600226
2003_2;;5.888622978638046;;;5.604780413665633;5.574812265830469;6.399837038412736;5.12982043329288;7.160692759108599;;8.213007124594961;7.089867169127317;4.600544278876304;;5.784070332994923
2004_1;;5.219811928271651;;;8.357852127095786;5.327819561677283;5.517330560175579;4.483490239662675;5.901889819846712;;9.38281854373885;8.146207310038118;5.608835793812954;;5.38540718678592
2004_2;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_1;;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;;-1
2005_2;-1;-1;;;-1;-1;-1;-1;-1;;-1;-1;-1;-1;-1
2006_1;258.83604369024715;6.843252822774117;;;6.795869791272771;6.08683962447172;;;8.821189477472977;;5.8561222482193305;7.043510437114075;8.884536448102146;1.05404221815777;5.016641769461237
2006_2;41402014.71219757;971734.2434214749;;532960.6375762058;763625.6981211979;630638.0998675858;;;1551830.1750238463;;431233.97683577146;889605.574478275;1108169.6073326222;87645.90127254461;713504.7443355382
2007_1;248.0642587588536;5.588056015903923;;7.313376369053439;6.71206020255401;5.725402152995523;;;;;6.014766111548226;5.865519920994175;7.413007614831659;0.7298418247882464;5.84742751212727
2007_2;58602682.204636425;1103299.4343893167;;1370592.4833326095;956359.6577025501;570607.1287148432;;;;1638197.2696682431;745522.8230611538;1045285.0376331421;1554664.2573796127;127461.91477489403;1031891.1092964459
2008_1;247.6712605064301;5.879277044789649;;6.613017537664314;7.915906170986783;6.327386269620595;;;;9.066543310170832;6.909674321890256;6.810802288950268;9.195894326211672;0.6814776611703377;5.999644897678682
2008_2;60968703.773733534;1142906.6371582642;;1217710.0771684682;1464720.5699021032;932015.6053998781;;;;2197127.945208028;860759.0490357486;1347358.559053115;2264556.1151255625;89036.03383755151;1399932.957056192
2009_1;242.96192995490057;6.978737013006004;;6.7805386763550555;6.661225524988027;6.186640951745208;;;;8.738414000291558;6.158007438722531;7.207833287991946;8.958380512828514;0.7486300599397075;5.640386276897
2009_2;65201866.725626156;1500654.032882066;;1234757.461545556;924612.7941009422;854129.1073471617;;;;2456213.0389280785;842099.3315505711;1470645.7500375614;2465417.37978394;128433.90541443111;1440101.5879643373
2010_1;288.24842864303616;6.264138895166672;;7.258631435455003;8.50137464596678;7.72570219206367;;;;12.689825163869616;5.8077499540731505;7.205522835010591;8.698944054067649;0.7844676415968004;7.096910035994416
2010_2;178171209.43688163;3458494.9084153553;;3578356.450106049;3219392.8486056104;4312604.424229212;;;;9071521.997272328;;3574182.511359329;5143365.321425834;;4522619.944599987
2011_1;255.64210483611015;7.618820083443583;21.5466051468562;8.444901784164692;9.415046162762533;8.318293047873969;;;;11.46075973704842;;6.1272695271301725;10.192634476009985;;7.333533073888609
2011_2;16380036.097771067;390634.4351649551;300306.16084729374;431501.1173446337;328767.45288173074;402396.23920668184;;;;685911.0152538525;;323970.7388908434;675436.6748778895;;404166.2058506161
2012_1;279.6721369012929;8.134994515265939;21.284608121668576;7.110296109664996;8.825137248862287;9.660347092774126;;;;11.105628645656312;;8.192434826624131;9.516595459534042;;6.785193425215182
2012_2;277.39364010537395;6.869224411149113;21.80432846810798;7.755976736316708;7.792642907658961;7.597145410275389;;;;11.22291227015664;;7.509203143747503;10.459702762464135;;6.368562427621214
2013_1;246.66330048150684;5.9476937079417675;21.285933802587518;7.0112388230704425;9.19807977475485;7.955881748268206;;;;11.450614065091592;;10.111057561143154;11.60073276966675;;7.749320006705033
2013_2;292.80245757764493;7.664760547001822;22.026616791455105;7.699049969917986;9.14747458610181;10.372845235675742;;;;13.119394857536625;;8.950083662904902;12.13228425013704;;9.01151599317255
2014_1;266.4945153793201;6.881194119215679;21.369426261862063;9.138980252382114;8.490196611066908;10.57455381537855;;;;11.371071371961117;;7.011306080984233;9.37640878330581;;8.213318776751773
